epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,3338.86,0.69735,0.50004,1.14339,0.85065,0.7664,0.82576,0.49719,1.52051,0.97139,2.24871,7.91755e-05,7.91755e-05,7.91755e-05
180,3358.99,0.707,0.50413,1.15019,0.83961,0.77148,0.82633,0.49697,1.5202,0.96668,2.25144,7.5609e-05,7.5609e-05,7.5609e-05
181,3376.49,0.69578,0.49348,1.14021,0.87489,0.7434,0.82065,0.49541,1.51909,0.97528,2.24867,7.20426e-05,7.20426e-05,7.20426e-05
182,3396.22,0.69514,0.49276,1.1416,0.85741,0.75755,0.8245,0.49595,1.51761,0.97831,2.2543,6.84762e-05,6.84762e-05,6.84762e-05
183,3414.71,0.69051,0.49331,1.13373,0.85314,0.77279,0.82682,0.49703,1.51668,0.9794,2.2539,6.49097e-05,6.49097e-05,6.49097e-05
184,3432.6,0.68626,0.49679,1.13163,0.86765,0.75691,0.82949,0.49801,1.51808,0.97744,2.25393,6.13433e-05,6.13433e-05,6.13433e-05
185,3451.52,0.69179,0.49669,1.13977,0.83909,0.77632,0.82725,0.4982,1.52184,0.97328,2.26655,5.77769e-05,5.77769e-05,5.77769e-05
186,3469.07,0.70168,0.49966,1.14548,0.8559,0.75719,0.82692,0.49861,1.5193,0.96224,2.25958,5.42104e-05,5.42104e-05,5.42104e-05
187,3489.14,0.67869,0.4851,1.12863,0.86293,0.75964,0.82824,0.49966,1.52378,0.96348,2.26384,5.0644e-05,5.0644e-05,5.0644e-05
188,3506.71,0.69163,0.49727,1.14234,0.85538,0.76113,0.82666,0.49982,1.52311,0.96174,2.26528,4.70776e-05,4.70776e-05,4.70776e-05
189,3527.49,0.6811,0.48733,1.12848,0.84577,0.76429,0.82227,0.50062,1.52136,0.96747,2.2629,4.35112e-05,4.35112e-05,4.35112e-05
190,3546.5,0.68028,0.48384,1.12997,0.84183,0.7678,0.82192,0.49965,1.51686,0.96567,2.25735,3.99447e-05,3.99447e-05,3.99447e-05
191,3567.12,0.57496,0.35619,1.09522,0.84514,0.75615,0.81622,0.49257,1.51998,0.95995,2.26329,3.63783e-05,3.63783e-05,3.63783e-05
192,3586.14,0.53095,0.30585,1.05648,0.83049,0.7816,0.81563,0.48756,1.51662,0.97003,2.2631,3.28119e-05,3.28119e-05,3.28119e-05
193,3603.88,0.51791,0.29251,1.04646,0.8526,0.76078,0.8149,0.48476,1.51303,0.96147,2.26585,2.92454e-05,2.92454e-05,2.92454e-05
194,3623.49,0.50972,0.29315,1.04534,0.84603,0.75688,0.81093,0.48607,1.50411,0.95098,2.25942,2.5679e-05,2.5679e-05,2.5679e-05
195,3641.19,0.50778,0.28722,1.03574,0.85564,0.75491,0.81188,0.48735,1.50191,0.95358,2.26302,2.21126e-05,2.21126e-05,2.21126e-05
196,3659.69,0.49692,0.27979,1.0317,0.85134,0.75998,0.8114,0.48571,1.49876,0.95884,2.26571,1.85462e-05,1.85462e-05,1.85462e-05
197,3678.36,0.49344,0.28306,1.02849,0.84752,0.76179,0.80836,0.48717,1.50094,0.96079,2.26898,1.49797e-05,1.49797e-05,1.49797e-05
198,3695.81,0.48882,0.28032,1.02509,0.87103,0.74142,0.81186,0.48626,1.49995,0.95714,2.26959,1.14133e-05,1.14133e-05,1.14133e-05
199,3715.07,0.49066,0.27884,1.02588,0.87155,0.74373,0.81314,0.48658,1.49977,0.95537,2.27259,7.84686e-06,7.84686e-06,7.84686e-06
200,3732.51,0.48618,0.28016,1.02554,0.87163,0.74503,0.81325,0.48721,1.49945,0.95452,2.27285,4.28043e-06,4.28043e-06,4.28043e-06
