epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,799.49,1.14547,0.98591,1.45997,0.78627,0.71055,0.76143,0.43944,1.50998,1.17262,1.94264,0.000567776,0.000567776,0.000567776
43,818.449,1.14178,0.97008,1.45716,0.80852,0.72323,0.77752,0.46156,1.46288,1.09327,1.89207,0.00056421,0.00056421,0.00056421
44,836.012,1.13781,0.95168,1.45278,0.78815,0.73066,0.78307,0.46229,1.49108,1.08451,1.91586,0.000560644,0.000560644,0.000560644
45,857.442,1.1467,0.9516,1.4633,0.83266,0.71179,0.78527,0.46998,1.46552,1.10578,1.89037,0.000557077,0.000557077,0.000557077
46,875.445,1.12746,0.94944,1.45068,0.74807,0.62849,0.69015,0.39208,1.55832,1.33845,2.0027,0.000553511,0.000553511,0.000553511
47,895.183,1.12712,0.93304,1.44449,0.7952,0.71147,0.77361,0.44971,1.48449,1.0915,1.90091,0.000549944,0.000549944,0.000549944
48,913.979,1.12182,0.93114,1.44787,0.74576,0.7218,0.76696,0.45672,1.46525,1.13439,1.92073,0.000546378,0.000546378,0.000546378
49,931.449,1.10653,0.92411,1.43332,0.79567,0.67278,0.74574,0.43229,1.51009,1.18386,1.9471,0.000542811,0.000542811,0.000542811
50,952.187,1.12399,0.9371,1.44466,0.76087,0.71081,0.75671,0.45015,1.46015,1.10993,1.89404,0.000539245,0.000539245,0.000539245
51,969.874,1.09668,0.89693,1.42473,0.82424,0.72295,0.79402,0.46566,1.47775,1.05513,1.91633,0.000535678,0.000535678,0.000535678
52,989.47,1.10891,0.90482,1.43622,0.77897,0.7057,0.75525,0.43206,1.5643,1.19914,1.99379,0.000532112,0.000532112,0.000532112
53,1008.23,1.10541,0.89946,1.42285,0.80611,0.72648,0.79107,0.46683,1.50784,1.04495,1.93625,0.000528546,0.000528546,0.000528546
54,1025.75,1.09696,0.87488,1.417,0.8331,0.72043,0.79298,0.47015,1.48053,1.06627,1.88132,0.000524979,0.000524979,0.000524979
55,1045.98,1.07361,0.86892,1.40527,0.84855,0.72266,0.80009,0.48427,1.45606,1.04532,1.87272,0.000521413,0.000521413,0.000521413
56,1063.48,1.09689,0.87728,1.41811,0.82507,0.74505,0.80005,0.4783,1.46947,1.02363,1.87835,0.000517846,0.000517846,0.000517846
57,1082.56,1.08023,0.86933,1.40507,0.83349,0.69893,0.77427,0.46461,1.49681,1.06975,1.9263,0.00051428,0.00051428,0.00051428
58,1102.08,1.06658,0.86016,1.39895,0.82133,0.74205,0.79985,0.46902,1.49883,1.01533,1.95258,0.000510713,0.000510713,0.000510713
59,1119.52,1.07958,0.86038,1.40932,0.78979,0.74457,0.78681,0.47405,1.46054,1.02646,1.91683,0.000507147,0.000507147,0.000507147
60,1140.13,1.06421,0.83521,1.39357,0.79423,0.72047,0.77296,0.46451,1.47629,1.10264,1.91251,0.000503581,0.000503581,0.000503581
61,1157.83,1.06203,0.84954,1.38554,0.79574,0.75721,0.8028,0.47994,1.46111,1.03154,1.91083,0.000500014,0.000500014,0.000500014
62,1177.03,1.06074,0.83251,1.39943,0.852,0.69784,0.787,0.47407,1.49353,1.08165,1.9405,0.000496448,0.000496448,0.000496448
63,1195.72,1.05759,0.84282,1.39417,0.81876,0.7014,0.76498,0.44733,1.51148,1.09822,1.9177,0.000492881,0.000492881,0.000492881
64,1213.29,1.05452,0.83414,1.39012,0.818,0.69654,0.76918,0.45472,1.50101,1.09705,1.932,0.000489315,0.000489315,0.000489315
65,1233.73,1.0393,0.81137,1.37916,0.84301,0.71503,0.79288,0.47025,1.49767,0.99873,1.94824,0.000485748,0.000485748,0.000485748
66,1251.23,1.04555,0.8037,1.37984,0.81938,0.7146,0.78276,0.4751,1.47143,1.10458,1.90359,0.000482182,0.000482182,0.000482182
67,1270.28,1.04179,0.80425,1.37569,0.81202,0.70279,0.76726,0.45599,1.50529,1.12884,1.97627,0.000478616,0.000478616,0.000478616
68,1289.24,1.0538,0.81524,1.38309,0.83686,0.72541,0.79776,0.47403,1.50042,1.06526,1.94957,0.000475049,0.000475049,0.000475049
69,1306.78,1.03732,0.80297,1.37766,0.82407,0.71642,0.77881,0.46491,1.50064,1.07054,1.9424,0.000471483,0.000471483,0.000471483
70,1326.24,1.02581,0.79912,1.37209,0.78609,0.7299,0.77368,0.46006,1.52558,1.06069,1.97353,0.000467916,0.000467916,0.000467916
71,1343.69,1.03102,0.79989,1.36351,0.80274,0.70796,0.76733,0.45058,1.52646,1.11397,1.99589,0.00046435,0.00046435,0.00046435
72,1363.32,1.03247,0.79358,1.37223,0.82548,0.7125,0.78879,0.47071,1.50839,1.06187,1.95007,0.000460783,0.000460783,0.000460783
73,1381.78,1.02586,0.78549,1.3602,0.81808,0.75899,0.81378,0.48509,1.45541,0.98095,1.90318,0.000457217,0.000457217,0.000457217
74,1399.41,1.01068,0.77534,1.36139,0.82699,0.71492,0.78071,0.46561,1.50777,1.06671,1.95067,0.000453651,0.000453651,0.000453651
75,1418.92,1.01465,0.77302,1.35755,0.79007,0.71772,0.78003,0.45749,1.48189,1.07334,1.94298,0.000450084,0.000450084,0.000450084
76,1436.44,1.01525,0.77957,1.34962,0.79919,0.75942,0.80402,0.48253,1.47911,0.97849,1.92976,0.000446518,0.000446518,0.000446518
77,1456.34,1.00694,0.76269,1.34632,0.84061,0.72265,0.79853,0.47292,1.49817,1.02341,1.95628,0.000442951,0.000442951,0.000442951
78,1474.5,0.99923,0.75823,1.3434,0.86135,0.72363,0.80208,0.47914,1.48271,0.98854,1.96134,0.000439385,0.000439385,0.000439385
79,1492.27,1.00952,0.76681,1.34938,0.84373,0.73788,0.79784,0.4812,1.46846,0.97785,1.9521,0.000435818,0.000435818,0.000435818
